Title,URL,Content,Category
"IPOs galore: 5 companies to make street debut this week; Rs 7,000 cr likely to be raised",https://indianexpress.com/article/business/companies/ipos-galore-5-companies-to-make-street-debut-this-week-rs-7000-cr-likely-to-be-raised-9036907/,"IREDA is a government of India enterprise under the administrative control of the Ministry of New and Renewable Energy (MNRE). It is engaged in promoting, developing and extending financial assistance for setting up projects relating to new and renewable sources of energy and energy efficiency and conservation.",Business
"Govt, RBI on ‘high alert’ on inflation; rate hike transmission may temper demand: Finance Ministry",https://indianexpress.com/article/business/economy/govt-rbi-on-high-alert-on-inflation-rate-hike-transmission-may-temper-demand-finance-ministry-9036911/,"The Ministry also said that a fuller transmission of the monetary policy, which essentially means pass-through of the central bank’s rate hikes to consumers by banks, may also temper domestic demand.",Business
"Notices to BYJU’S CEO, parent  firm over FEMA violations: ED",https://indianexpress.com/article/business/companies/byjus-raveendran-ed-notice-9300-crore-fema-violation-9036733/,The agency said it had initiated investigation on the basis of various complaints regarding foreign investments received by the company viz M/s Think and Learn Private Limited and the business conduct of the firm.,Business
"Eight IndiGo passengers missed connecting flight from Bengaluru due to lack of time, says airline",https://indianexpress.com/article/business/aviation/indigo-passengers-missed-connecting-flight-from-bengaluru-due-to-lack-of-time-9036600/,"According to IndiGo, its staff offered the passengers overnight accommodation and booking on the next available flight",Business
"Govt cancels bid for appointing asset valuer for IDBI Bank, fresh RFP to be issued",https://indianexpress.com/article/business/govt-cancels-bid-for-appointing-asset-valuer-for-idbi-bank-fresh-rfp-to-be-issued-9036500/,"The government, along with LIC, is selling nearly 61 per cent stake in IDBI Bank and in January received multiple Expressions of Interest for the same.",Business
"Stock markets recover after 2-day decline; banking, metal shares shine",https://indianexpress.com/article/business/market/stock-markets-recover-after-2-day-decline-banking-metal-shares-shine-9036407/,"The 30-share BSE Sensex climbed 275.62 points or 0.42 per cent to settle at 65,930.77.",Business
"Jindal Power will not bid to take over airline Go First, says report",https://indianexpress.com/article/business/aviation/jindal-power-not-bid-take-over-airline-go-first-9036404/,Go First is currently locked in a legal tussle with its lessors after they were blocked from repossessing planes due to a moratorium imposed by Indian courts.,Business
Rupee rises 6 paise to 83.32 against US dollar in early trade,https://indianexpress.com/article/business/rupee-rises-6-paise-to-83-32-against-us-dollar-in-early-trade-9035711/,Forex traders said the rupee fell to fresh record lows on Monday despite broad weakness in the dollar against its major crosses on suspected importer-related buying.,Business
SEBI chief urges investors to take long-term view of markets to beat inflation rate,https://indianexpress.com/article/business/banking-and-finance/sebi-chief-urges-investors-to-take-long-term-view-of-markets-to-beat-inflation-rate-9035386/,"SEBI’s study, released in January this year, stated that 90 per cent of the active traders incurred average losses of Rs 1.25 lakh during FY22.",Business
"Religare board rallies around Rashmi Saluja, defends her share sales",https://indianexpress.com/article/business/companies/religare-rel-board-of-directors-religare-ceo-rashmi-saluja-9035387/,"“As result of the overall growth of all businesses, the company’s market cap has remarkably increased to about a billion dollars from a low of under $100 million in March 2018,” the board said.",Business
"RBI’s tightening of lending norms for unsecured loans is credit positive, says Moody’s",https://indianexpress.com/article/business/economy/rbis-tightening-of-lending-norms-for-unsecured-loans-is-credit-positive-says-moodys-9035381/,"Last week, the RBI increased the risk weights on the exposure of banks towards consumer credit, credit card receivables and NBFCs by 25 per cent up to 150 per cent.",Business
GDP growth may decline marginally to 6.3% in 2024: Goldman Sachs,https://indianexpress.com/article/business/economy/gdp-growth-may-decline-marginally-to-6-3-in-2024-goldman-sachs-9035380/,"However, it is likely to be a tale of two halves, the report said. “Subsidies and transfer payments as we head into the general elections in Q2 2024 will likely be the growth driver in the first half. Post-elections, we expect investment growth to re-accelerate, especially from the private side,” Goldman Sachs said.",Business
"Retail inflation for farm, rural workers marginally up in October",https://indianexpress.com/article/business/economy/retail-inflation-farm-rural-workers-marginally-up-october-9035278/,"Andhra Pradesh and Tamil Nadu with 1,415 points each topped the index table whereas Himachal Pradesh with 1,011 points stood at the bottom.",Business
Scamming the scammers: How borrowers create fake IDs to deceive fake loan appsPremium Story,https://indianexpress.com/article/business/banking-and-finance/scamming-the-scammers-how-borrowers-create-fake-ids-to-deceive-fake-loan-apps-9034930/,"An empty phone, forged documents, a fake digital trail – and a stunning role reversal. This time, shady loan apps are the 'victims'",Business
"Markets fall for 2nd day amid sell-off in auto, commodity stocks",https://indianexpress.com/article/business/market/markets-fall-for-2nd-day-amid-sell-off-in-auto-commodity-stocks-9034780/,"Among the Sensex firms, Bajaj Finance, Mahindra & Mahindra, UltraTech Cement, Bajaj Finserv, Asian Paints, Hindustan Unilever, Tata Motors and JSW Steel were the major laggards.",Business
IIT Madras records 19% increase in internship offers,https://indianexpress.com/article/education/iit-madras-records-19-increase-in-internship-offers-jee-main-2024-placements-9038928/,"IIT Madras has reported a 17 per cent increase in the number of students who secured an internship, and 51 per cent increase in number of companies that visited IIT Madras for internship.",Education
FMGE December 2023 registration begins soon at natboard.edu.in,https://indianexpress.com/article/education/fmge-december-2023-registration-begins-at-natboard-edu-in-exam-date-how-to-apply-9038864/,FMGE December 2023: Interested candidates can apply at the official website -- natboard.edu.in. The window for online submission of the application form will be open till December 13.,Education
IIT Placements: 99% of IIT-Goa students placed,https://indianexpress.com/article/education/iit-placements-goa-achieves-99-placement-success-6-international-offers-received-jee-main-2024-9017721/,"Despite global economic slowdown after the Covid pandemic and layoff news, IIT Goa has managed to have 100% placement in Computer Science and Engineering, Electrical Engineering and Mechanical Engineering.",Education
Foreign medical graduates will have to appear for screening test within 10 yrs of completing course,https://indianexpress.com/article/education/foreign-medical-graduates-screening-test-9038786/,Students who have completed their medical education from other countries have to pass the screening test in order to practice medicine in the country.,Education
Foreign medical graduates will have to appear for screening test within 10 yrs of completing course,https://indianexpress.com/article/education/foreign-medical-graduates-will-have-to-appear-for-screening-test-within-10-yrs-of-completing-course-9038623/,Students who have completed their medical education from other countries have to pass the screening test in order to practice medicine in the country.,Education
IIM Indore to conduct 10-day leadership development course in Hindi,https://indianexpress.com/article/education/iim-indore-to-impart-10-day-leadership-development-course-in-hindi-9038097/,This is for the first time that lectures will be delivered in Hindi in the leadership development programme classes of IIM-Indore.,Education
IIM Udaipur introduces Executive MBA programme with multiple entry option,https://indianexpress.com/article/education/iim-udaipur-launches-executive-mba-programme-with-multiple-entry-option-9037964/,The IIM Udaipur's EMBA programme will also offer flexibility through multiple entry.,Education
New Era Senior Secondary School Achieves Top Honors in 2023 Education World Jury Rankings for Extraordinary Leadership,https://indianexpress.com/article/education/sponsored-education/new-era-senior-secondary-school-achieves-top-honors-in-2023-education-world-jury-rankings-for-extraordinary-leadership-9037970/,"New Era Senior Secondary School's leadership team, unparalleled and unmatched, has consistently prioritized quality education with a unique emphasis on co-curricular and extra-curricular activities.",Education
AIMA MAT December 2023 exam dates announced; apply before Nov 28,https://indianexpress.com/article/education/aima-mat-december-2023-exam-dates-announced-registration-for-first-test-ends-on-nov-28-9037811/,"AIMA MAT December 2023 exams will be held over five days between December 3 and 17 in CBT, IBT and PBT modes.",Education
"‘Elite colleges favour students with good academic credentials & strong identity,’ says UCL student | Indians in top colleges",https://indianexpress.com/article/education/study-abroad/elite-colleges-favour-students-with-good-academic-credentials-and-strong-identity-says-university-college-london-student-indians-in-top-colleges-8997427/,"Ambikesh Sharma talks about why it is important to draft your CV in a way that reflects your experiences and communicates your personality, rather than writing what everyone speaks.",Education
"Tamil Nadu TNDGE Class 10th, 12th half-yearly exam dates released",https://indianexpress.com/article/education/tamil-nadu-tndge-announces-class-10th-12th-half-yearly-exam-dates-2024-session-9037771/,Tamil Nadu 2024 Board Exams: The board has also announced the half-yearly exam dates for Classes 6 to 9.,Education
"BHU reports increase in enrollment of foreign students, highest from Nepal",https://indianexpress.com/article/education/bhu-registers-increase-in-enrollment-of-foreign-students-cuet-ug-9037403/,"BHU International Enrolments: Of the new 312 international admissions in the 2023-24 session, as many as 172 students have enrolled in UG programmes and 112 for PG. While16 students are enrolled in PhD, 12 students are admitted to a certificate or diploma courses.",Education
"Organise events to celebrate Constitution Day on Nov 26: UGC to colleges, universities",https://indianexpress.com/article/education/ugc-asks-colleges-and-universities-to-organise-events-and-celebrate-constitution-day-2023-on-nov-26-9037318/,Constitution Day 2023: UGC has suggested the colleges and universities to organise activities including talks and webinars on Constitutional values and fundamentals of the Indian Constitution.,Education
JEE Main 2024: Importance of solving mock tests at right time,https://indianexpress.com/article/education/jee-main-2024-when-should-i-start-giving-mock-tests-9032986/,"With JEE Main 2024 exam a few weeks away, it is important to start the last leg of preparation. But is it the right time to start mock tests? Experts answer.",Education
"MoE, IIT Kanpur’s SATHEE begin outreach to transform KVs, NVs, CBSE schools exam preparation",https://indianexpress.com/article/education/moe-iit-kanpurs-sathee-begin-outreach-to-transform-exam-preparation-in-kvs-nvs-cbse-schools-9036620/,"The platform has commenced with its first 45-day JEE crash course, designed to provide intensive preparation and revision in a short period, ideal for students looking to consolidate their learning before exams.",Education
CLAT 2024 admit card out at consortiumofnlus.ac.in; exam on Dec 3,https://indianexpress.com/article/education/clat-2024-admit-card-released-at-consortiumofnlus-ac-in-exam-on-december-3-9035749/,CLAT 2024: Registered students can download their admit card from the official website – consortiumofnlus.ac.in.,Education
"‘Pressure’ from parents behind student suicides, says Supreme Court",https://indianexpress.com/article/education/pressure-from-parents-behind-student-suicides-says-sc-9036566/,"Hearing a plea that sought regulation of the mushrooming coaching institutes and cited the data on student suicides, a bench of justices Sanjiv Khanna and SVN Bhatti, however, expressed helplessness and said the judiciary cannot pass directions in such a scenario.",Education
UGC to revise NET syllabus; meeting on Dec 3: UGC Chief,https://indianexpress.com/article/education/ugc-net-syllabus-to-be-revised-chairman-9036378/,UGC will form an expert committee and undertake this exercise. Candidates will be given sufficient time before this new syllabus is introduced in UGC-NET so that the changeover happens smoothly.,Education
"UCL launches India Excellence scholarships, summer school",https://indianexpress.com/article/education/study-abroad/ucl-launches-india-excellence-scholarships-summer-school-9036357/,"Under the UCL India Excellence Scholarships prospective Master’s students in any discipline can receive £5,000 towards their studies.",Education
"Haryana HBSE Board Exams 2024: Deadline postponed for online application of Class 10th, 12th",https://indianexpress.com/article/education/haryana-hbse-board-exams-2024-deadline-postponed-for-online-application-for-class-10th-12th-9036319/,"Haryana HBSE Board Exams 2024: Earlier, the deadline for application forms for Haryana HBSE Board Exams 2024 was November 21, which has now been extended till the end of this week.",Education
Indian Gen Z spends 73% more time learning than other generations: LinkedIn,https://indianexpress.com/article/education/indian-gen-z-spend-73-more-time-learning-than-other-generations-linkedin-9036199/,"In India, Gen Z workers are 1.3 times more likely than Gen X to want to learn AI skills, and 2.4 times more likely than Baby Boomers.",Education
AILET 2024: NLU Delhi to release admit card on November 24,https://indianexpress.com/article/education/ailet-2024-nlu-delhi-postpones-release-of-admit-card-check-new-date-9036154/,AILET 2024: As per the official website — nationallawuniversitydelhi.in — the hall tickets will now be released on November 24.,Education
NEET UG: AIIMS Raipur is top medical college in Chhattisgarh,https://indianexpress.com/article/education/neet-ug-2024-government-medical-colleges-in-chhattisgarh-aiims-raipur-top-9034476/,"NEET UG 2024: AIIMS Raipur was set up in Chhattisgarh in 2012 as a centre of excellence in medical education, training, health care and research.",Education
JEE Advanced: Check IIT Bhilai’s rankings since 2019,https://indianexpress.com/article/education/jee-advanced-iit-bhilai-global-rankings-jee-main-2024-9027782/,IIT Rankings: IIT Bhilai did not manage to get a spot in the list of Times Higher Education (THE) rankings in 2024 and in QS World University Rankings 2024.,Education
"Bags packed with books & dreams, 780 girls board train from Jammu for nationwide study tour",https://indianexpress.com/article/education/jammu-and-kashmir-college-on-wheels-9035192/,"Flagging off the train at Katra on Sunday, J&K Lieutenant Governor Manoj Sinha said the initiative would open a new chapter in the education sector of the Union Territory.",Education
"Skincare enthusiasts, these are the ingredients you must use in your 20s, 30s, 40s and 50s",https://indianexpress.com/article/lifestyle/life-style/skincare-ingredients-important-age-groups-20s-30s-40s-50s-9026156/,Experts reveal the specific skincare ingredients that can help you tackle skin woes as per your age demands,Lifestyle
Mini Mathur reveals how she managed her weight despite not working out for almost 8 days,https://indianexpress.com/article/lifestyle/fitness/mini-mathur-reveals-how-she-managed-her-weight-despite-not-working-out-for-close-to-8-days-9037429/,"Mini Mathur said, ""Opened my fast with low GI foods and fibre every day so I could follow it up with my favourite food in Delhi""",Lifestyle
‘Exercise snacking’: Why is it good for you?,https://indianexpress.com/article/lifestyle/fitness/exercise-snacking-short-workouts-bite-sized-physical-activity-health-benefits-busy-routine-9036444/,"According to Utsav Agrawal, advanced trainer at FITTR, exercise snacks refer to short bursts of physical activity that can be easily integrated into your daily routine. Here is how they help.",Lifestyle
"Dear men, you need skincare as much as women. Here is how you can get started",https://indianexpress.com/article/lifestyle/life-style/men-skincare-essentials-routine-basics-9018954/,"Skincare is essential for people of all ages and genders. This includes men as well. Yes, you need it as much as your girlfriend. So, if you want healthy-looking skin, here's your beginner's guide to get started.",Lifestyle
2024 is the year of the ‘self’. Here’s how its shaping the dating scene,https://indianexpress.com/article/lifestyle/feelings/dating-trends-2024-navigating-love-romantic-relationships-bumble-9037362/,"Bumble India's Communications Director Samarpita Samaddar says, ""2024 will usher in a year of self-discovery, with single Indians empowered to prioritise their values and set clear boundaries in their romantic lives.""",Lifestyle
Nutrition alert: Here’s what a 100-gram serving of spring onions contains,https://indianexpress.com/article/lifestyle/food-wine/nutrition-alert-spring-onions-health-benefits-9030513/,Spring onions can even be an alternative to onions during price fluctuations.,Lifestyle
Add these 7 Indian winter getaways to your travel bucket list,https://indianexpress.com/article/lifestyle/destination-of-the-week/best-winter-travel-destinations-india-9037597/,"If you're looking to experience the best of winter season in India, here are some of the best travel spots to add to your bucket list",Lifestyle
Want to delve into Korean cuisine? Here are 5 types of kimchi you can try,https://indianexpress.com/article/lifestyle/food-wine/korean-cuisine-types-kimchi-9037364/,"International Kimchi Day: Chef Hanumanta Deora, head chef, Barn@Food Square,  describes 5 types of kimchi you can try",Lifestyle
How storytelling for children has evolved,https://indianexpress.com/article/lifestyle/art-and-culture/storytelling-children-books-reading-importance-bookaroo-festival-parents-9037289/,"Even folktales which used to be readily accepted as they were, require explanations and logical justifications. A storyteller needs to rewrite the script to capture the attention of her audience and make sure the narrative and characters have credibility, said author Deepa Agarwal who writes both for children and adults",Lifestyle
Why exercise needs to be like brushing your teeth,https://indianexpress.com/article/lifestyle/fitness/why-exercise-brushing-teeth-benefits-habit-9024674/,"Lifestyle coach Luke Coutinho explained that no matter what whether it is Diwali, Christmas, festivals, a marriage party or holidays, get your exercise in.",Lifestyle
How is gargling with salt water effective?,https://indianexpress.com/article/lifestyle/life-style/salt-water-gargle-effective-benefits-9024455/,Is salt water remedy effective for your sore throat this winter?,Lifestyle
"As employees return to office, what is the new coffee badging trend affecting work?",https://indianexpress.com/article/lifestyle/workplace/employees-return-office-what-is-new-coffee-badging-trend-workplace-pros-cons-9031957/,"The positives of coffee badging could be social well-being, networking, and a sense of belonging - as co-workers spend a lot of time together. But is it advisable on a daily basis?",Lifestyle
Can you get sick because of your pillow?,https://indianexpress.com/article/lifestyle/life-style/sick-because-of-pillow-risks-measures-9015807/,"How often do you wash your pillows? (Hint: If you don't, start now; here's why)",Lifestyle
Oil-rich food and alcohol can cause adult acne; here’s how,https://indianexpress.com/article/lifestyle/life-style/post-diwali-acne-pimples-alcohol-oily-food-9034566/,"Dr Bhavana Nukala, consultant dermatologist, CARE Hospitals, tells indianexpress.com in an interaction that diets high in saturated and trans fats may contribute to acne, along with alcohol that inflames the skin",Lifestyle
Are you still feeling the post-festive blues? Here’s some help,https://indianexpress.com/article/lifestyle/life-style/post-festival-blues-diwali-break-coping-strategies-mental-health-9035874/,"Dr Jyoti Kapoor, founder-director and senior psychiatrist, Manasthali, explained that post-festival blues refers to the feeling of sadness, or letdown, that some individuals experience after attending a festival or a major event. Here's how you can cope with it",Lifestyle
"International Emmy Awards: Shefali Shah, Vir Das, Jim Sarbh and others radiate glam at the red carpet",https://indianexpress.com/article/lifestyle/fashion/international-emmy-awards-celebrity-bollywood-outfits-shefali-shah-vir-das-jim-sarbh-ekta-kapoor-red-carpet-9035805/,"From Shefali Shah to Jim Sarbh, check out what our beloved Indian celebrities wore to the 51st International Emmy Awards in New York City.",Lifestyle
Pilates girls: Janhvi Kapoor and Sara Ali Khan give us fitness goals with this ‘flowing’ practice,https://indianexpress.com/article/lifestyle/fitness/pilates-girls-janhvi-kapoor-and-sara-ali-khan-give-us-some-goals-with-this-flowing-practice-9028731/,Janhvi Kapoor and Sara Ali Khan were seen perfecting some friction training with Pilates trainer Namrata Purohit. Find out more about the challenging practice,Lifestyle
Kitchen 101: Ditch plastic chopping boards now,https://indianexpress.com/article/lifestyle/life-style/kitchen-101-ditch-plastic-chopping-boards-risks-microplastic-9034744/,"While convenient, plastic cutting boards necessitate careful consideration to minimise potential health risks associated with microplastic exposure",Lifestyle
This is why you wake up with anxiety in the morning,https://indianexpress.com/article/lifestyle/life-style/morning-anxiety-how-to-cope-9015861/,There are several possible causes of morning anxiety. Let us understand what they are and how to cope.,Lifestyle
Why hugging is important for your mental and physical health,https://indianexpress.com/article/lifestyle/feelings/hugging-important-mental-physical-health-9013161/,We explore why hugging is essential for our overall well-being and how it can enhance our lives in various ways.,Lifestyle
Nutrition alert: Here’s what a 100-gram serving of spinach contains,https://indianexpress.com/article/lifestyle/food-wine/nutrition-alert-spinach-palak-health-benefits-9032028/,Let's take a look at the many health benefits of palak or spinach and whether there are any precautions we need to take before eating it.,Lifestyle
5 food festivals to attend this upcoming Christmas season,https://indianexpress.com/article/lifestyle/food-wine/food-festivals-christmas-season-new-year-india-pune-kolkata-delhi-9032063/,Celebrate the Christmas cheer with a gastronomic journey at some of the most vibrant and diverse food festivals across the country,Lifestyle
Why are sustainable fashion products so expensive?,https://indianexpress.com/article/lifestyle/fashion/sustainable-slow-fashion-expensive-pricing-9029136/,"If you have been wanting to make the switch to sustainable fashion, you might have wondered why most products made under that label are more expensive than your usual clothes. There are several reasons.",Lifestyle
Can you guess Katrina Kaif’s favourite foods?,https://indianexpress.com/article/lifestyle/food-wine/katrina-kaif-favourite-foods-broccoli-gobhi-turai-benefits-fitness-9034227/,"Intrigued by Katrina Kaif's choices, we decided to understand how such foods help your fitness goals",Lifestyle
What Bollywood wore to watch the ICC World Cup final at Ahmedabad,https://indianexpress.com/article/lifestyle/fashion/bollywood-icc-world-cup-final-ahmedabad-9034286/,"Donning Team India jerseys, a multitude of Bollywood celebrities made their presence felt at the highly anticipated cricket World Cup final between India and Australia",Lifestyle
"Today in Politics: In final push for Rajasthan, BJP, Congress to hold rallies before curtains: Modi and Shah to Gehlot and Pilot",https://indianexpress.com/article/political-pulse/today-in-politics-rajasthan-bjp-congress-rallies-modi-shah-gehlot-pilot-9038727/,"KCR, Nadda, Mayawati to address rallies in Telangana; Mamata calls TMC meet to brainstorm on 2024 polls; Centre convenes a meeting of social media platforms to discuss deepfakes",Polictics
"Independent ‘buffalo sister’ has a bull run in Telangana, powered by volunteers, social mediaPremium Story",https://indianexpress.com/article/political-pulse/independent-buffalo-sister-has-a-bull-run-in-telangana-9038278/,"Karne Shireesha, an unemployed graduate, strikes a chord talking about the jobless in her campaign at Kollapur; videos starting with her tending cattle go viral",Polictics
"Rajasthan polls: After jugglery to accommodate Diya Kumari, BJP’s safe seat in choppy waters",https://indianexpress.com/article/political-pulse/rajasthan-polls-jugglery-accommodate-diya-kumari-bjp-safe-seat-choppy-waters-9038117/,Chittorgarh MLA Chandrabhan Singh Akya is contesting as an Independent after being replaced by Bhairon Singh Shekhawat’s son-in-law Narpat Singh Rajvi. The party fielded Rajvi after giving his seat in Jaipur to Rajsamand MP Diya Kumari.,Polictics
Ashok Gehlot: ‘BJP is contesting Rajasthan LS style… poora dhawa bol rakha hai as they could not topple our govt’,https://indianexpress.com/article/political-pulse/ashok-gehlot-interview-rajasthan-polls-9037872/,"On 'disagreement' between their supporters despite apparent unity between him and Sachin Pilot, CM Gehlot tells The Indian Express that 'by and large we are trying to go into the campaign united'",Polictics
Who is Sourav Ganguly batting for now? Kolkata back to an old game,https://indianexpress.com/article/political-pulse/kolkata-back-to-an-old-game-who-is-sourav-ganguly-batting-for-now-9037843/,"Named by Mamata Banerjee as Bengal brand ambassador, after he accompanied her to a foreign trip. The pre-2021 Assembly poll days, when he was seen with BJP top brass, now seem past",Polictics
"As Telangana sentiment wanes, other issues bubble up, as do Congress hopes",https://indianexpress.com/article/political-pulse/telangana-sentiment-wanes-other-issues-bubble-up-congress-hopes-9037764/,"Party has strong candidates and schemes to match BRS's, but not clear if this support will lead to votes. TPCC chief Revanth Reddy chooses caution too, telling Cong leaders not to get carried away by ""hype"" and surveys",Polictics
Karnataka Congress govt may not bite the bullet as Dalit ministers raise internal quota demand,https://indianexpress.com/article/political-pulse/congress-dalit-ministers-sc-internal-quotas-karnataka-centre-9037371/,"The previous BJP govt, while rejecting the Sadashiva Commission report on SC sub-categories, had accepted some directions of a Cabinet sub-committee on it, and forwarded it to the Centre",Polictics
"Decoding Politics: Why is BJP raising two ‘comments’, one by Gehlot loyalist, another by his son?",https://indianexpress.com/article/political-pulse/decoding-politics-bjp-raising-comments-gehlot-loyalist-shanti-dhariwal-9037300/,Minister Shanti Dhariwal had apologised for his remark in House during a debate on grants to police; Vaibhav Gehlot's remark linked by BJP to 'red diary' party keeps talking about,Polictics
Rajasthan polls | ‘Will teach Congress a lesson’: The Sachin Pilot impasse may cost party in Gujjar belt,https://indianexpress.com/article/political-pulse/sachin-pilot-impasse-may-cost-congress-in-gujjar-belt-9037114/,"With Pilot seen as CM face, community support had helped 8 of Cong Gujjar leaders, as well as tribal faces, win in 2018. Now, they vow to teach Congress “a lesson”, as Muslims question its govt's “silence” on their issues",Polictics
Today in Politics: PM Modi to chair virtual G20  summit; Amit Shah steps up Rajasthan campaign,https://indianexpress.com/article/political-pulse/today-in-politics-pm-modi-virtual-g20-summit-amit-shah-rajasthan-campaign-9037110/,Samajwadi Party to hold event to pay tributes to Mulayam Singh Yadav on his birth anniversary; cross-examination of Sena (UBT) chief whip Sunil Prabhu by Shinde Sena lawyers to continue,Polictics
"Ex-CJ defends rap on EC: if it’s seen tilting, it matters in a democracyPremium Story",https://indianexpress.com/article/political-pulse/ex-cj-defends-rap-on-ec-if-its-seen-tilting-it-matters-in-a-democracy-9037012/,Was moved from TN to Meghalaya after he said EC should face murder charge for violating Covid protocol,Polictics
"In last leg of polls, Rahul Gandhi calls PM Modi ‘panauti’; BJP demands apology",https://indianexpress.com/article/political-pulse/rajasthan-assembly-polls-rahul-gandhi-pm-modi-panauti-9036764/,"Just a week ago, Modi had called Rahul moorkhon ka sardaar (leader of fools) after Rahul said everybody in India has only Chinese mobile handsets.",Polictics
"From the Urdu Press: ‘Cricket World Cup sets stage for India as sports host’, ‘BJP negative politics show no plans for Telangana’",https://indianexpress.com/article/political-pulse/from-the-urdu-press-india-world-cup-9036690/,"'The concern flagged by PM Modi over AI-generated fake content is valid, which must be endorsed by proponents of social media', including BJP own leaders, writes Urdu Times",Polictics
"Alliance talks on backburner, BJP banks on Central schemes as Akalis aim for youth in Punjab",https://indianexpress.com/article/political-pulse/alliance-talks-on-backburner-bjp-banks-on-central-schemes-as-akalis-aim-for-youth-in-punjab-9036442/,"SAD membership drive offers youth pathways up the political ladder; BJP harps on central schemes for state's poor, attacks ruling AAP for 'hijacking' such schemes",Polictics
"‘When we contest, we fight for all. If any polarisation, it may be an organic reaction’: BJP Nathdwara candidate",https://indianexpress.com/article/political-pulse/bjp-nathdwara-candidate-contest-fight-organic-reaction-9036314/,"Vishwaraj Singh, a descendant of Maharana Pratap, is taking on Congress veteran and five-time Nathdwara MLA C P Joshi",Polictics
Cong veteran C P Joshi feels the heat as Maharana Pratap descendant enters the battlefield,https://indianexpress.com/article/political-pulse/cong-veteran-c-p-joshi-feels-the-heat-as-maharana-pratap-descendant-enters-the-battlefield-9036274/,Vishwaraj Singh carries the advantage of his lineage even as there is all-round acknowledgment of work done by Joshi,Polictics
"‘Redemption’ for BJP leader whose case led to Rahul Gandhi conviction, Purnesh Modi gets charge of UT",https://indianexpress.com/article/political-pulse/rahul-gandhi-criminal-defamation-suit-purnesh-modi-daman-diu-charge-9036061/,"His Gujarati roots are expected to help BJP in Daman and Diu, and Dadra & Nagar Haveli, where party faced rough weather over leader's death; appointment may also be first step to enter national scene",Polictics
